,Name,Prices/night,Description,Reviews
0,Apartment in New Delhi,$71 night,CP 24/7 Security - Charm - Terrace,4.75 (174)
1,Room in Greater Kailash I,$35 night,"Elegant, centrally-located South Delhi apt Room 1",4.95 (129)
2,Apartment in New Delhi,$17 night,Studio located in the SAFEST part of town.,4.89 (116)
3,Apartment in Hauz Khas,$66 night,Harphool Nivas 1 @Hauz Khas Village,4.75 (138)
4,Condo in Hauz Khas,$60 night,Apnalaya-Entire luxurious apartment in South Delhi,4.85 (142)
5,Room in New Delhi,$53 night,sanjay puris room  two,4.87 (69)
6,Apartment in New Delhi,$60 $48 night,Cozy 2 bedroom Apartment,New
7,Room in Greater Kailash I,$38 night,South Delhi Home with Beautiful Terrace: 1,4.88 (204)
8,Apartment in Hauz Khas,$113 night,Cosy Forest view apartment,4.91 (23)
9,Room in Pahar Ganj,$31 night,Anuraag's PurnTosh Woods,4.88 (26)
10,Condo in Nizamuddin,$36 night,2 Bedroom Apartment in Central Delhi,4.68 (88)
11,Apartment in Mahipal Pur,$36 night,Modern 2 Bedroom Apartment for Perfect Stay,4.94 (49)
12,Condo in Nizamuddin,$35 night,Living by the Greens (First Floor),4.49 (248)
13,Guesthouse in Hauz Khas,$48 night,Studio Apartment 2 - Stay with Manica,4.73 (63)
14,Room in New Delhi,$24 night,Green Hut___a Rooftop garden.,4.84 (61)
15,Apartment in Rohini,$32 night,Boutique Indian Apartment on First (Upper) Floor,4.93 (120)
16,Guest suite in Greater Kailash I,$22 night,room with private entrance in New Delhi GK1 + GYM,5.0 (6)
17,Room in Nizamuddin,$36 night,"The Rouge Room: Bright,cosy & clean",4.89 (112)
18,Guesthouse in New Delhi,$12 night,Vasant Kunj - A ROOM WITH A  VIEW ! and WHOLE ROOF,4.8 (71)
19,Room in New Delhi,$53 night,sanjay puris room  two,4.87 (69)
20,Apartment in New Delhi,$11 night,Cozy Cute Love Nest in South Delhi,4.92 (25)
21,Apartment in New Delhi,$48 night,"Moroccan charm studio,Balcony+view",New
22,Apartment in New Delhi,$66 night,Harphool Nivas 1 @Hauz Khas Village,4.75 (138)
23,Condo in New Delhi,$66 night,Apnalaya - Luxurious apartment in South Delhi,4.8 (75)
24,Room in New Delhi,$53 night,sanjay puris room  one,4.82 (94)
25,Apartment in Gurugram,$35 night,Stylish 1 BHK Serviced Apartment Near Cyber Hub,4.96 (259)
26,Vacation home in New Delhi,$90 night,Santorini 2 with couple jaccuzi,4.66 (76)
27,Condo in New Delhi,$59 night,BluO Classic Studio in Green Park,4.89 (61)
28,Room in New Delhi,$26 night,Anuraag's PurnTosh Air,4.85 (20)
29,Place to stay in New Delhi,$11 night,TRTL@JungleMeiMangal,4.63 (35)
30,Hotel room in New Delhi,$18 night,"Private Room near New Delhi Stn ,VFS & City Centre",4.6 (310)
31,Room in New Delhi,$60 night,Oasis B&B Central Delhi,4.85 (79)
32,Apartment in New Delhi,$38 night,Paradiso in Heritage Colony - Studio Apartment,4.54 (52)
33,Apartment in New Delhi,$144 night,3bdrm in GK2 airport pickup incl for 3+ night stay,4.96 (136)
34,Condo in New Delhi,$36 $32 night,Cozy Apartment in South Delhi- Prime Location,4.74 (57)
35,Place to stay in New Delhi,$13 night,MOHANS-HOME AWAY FROM HOME,4.86 (44)
36,Condo in New Delhi,$59 night,BluO Classic Studio in Green Park,4.89 (61)
37,Room in New Delhi,$21 night,Ficus - a cosy terrace room with open space,4.95 (55)
38,Apartment in New Delhi,$96 night,Affordable Luxury South Delhi 4 Bedroom Apartment,4.76 (188)
39,Condo in New Delhi,$83 night,Luxe 301 | 3BHK | Pvt Parking,New
40,Home in New Delhi,$112 $101 night,"JACUZZI, STUNNING1BR ,TERRACE, LOCATION ❤️🌈🦮",4.92 (249)
41,Room in New Delhi,$60 night,Oasis B&B Central Delhi,4.85 (79)
42,Room in Delhi,$24 night,The silence in the city (free Wi-Fi),4.74 (105)
43,Apartment in New Delhi,$31 night,Isolated private room studio in new Delhi,4.87 (145)
44,Room in New Delhi,$35 night,"Elegant, centrally-located South Delhi apt Room 2",4.91 (107)
45,Room in New Delhi,$40 night,"Large, Safe BD,5 min Metro, Free  WiFi #2",4.98 (135)
46,Condo in New Delhi,$46 night,Bully and pams home,4.92 (105)
47,Apartment in New Delhi,$38 night,Paradiso in Heritage Colony - Studio Apartment,4.54 (52)
48,Tiny home in New Delhi,$19 night,Sunrise homes 2,4.73 (45)
49,Hotel room in New Delhi,$17 $13 night,Standard AC Room with External Adjacent Bathroom,4.75 (16)
50,Apartment in New Delhi,$85 night,The Royal Charm 27 Residensia,4.88 (72)
51,Apartment in New Delhi,$28 night,"2BHK Classy family friendly apartment, no parking",4.5 (10)
52,Apartment in New Delhi,$90 night,Nirvana with jacuzzi,4.66 (151)
53,Bed and breakfast in New Delhi,$26 night,Gracious by Vishesh Hotels & Home Stay Listing 3,4.56 (149)
54,Apartment in New Delhi,$54 night,Harphool Nivas @ Hauz Khas Village,4.69 (26)
55,Room in New Delhi,$38 night,Anuraag's PurnTosh Elements,4.85 (34)
56,Place to stay in New Delhi,$100 night,The Barn - Classic,4.91 (70)
